2026-02-24 13:25:03 | DEBUG    | shortsqueeze.signals:scan_stock - CGC: price=$1.19, prev_close=$1.15 (source: yahoo)
2026-02-24 13:25:03 | DEBUG    | shortsqueeze.signals:scan_stock - CGC: No signal - price=False (+3.9%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($1.19 vs VWAP $1.15), squeeze=False, mom=False
2026-02-24 13:25:04 | DEBUG    | shortsqueeze.signals:scan_stock - ECX: price=$1.56, prev_close=$1.54 (source: yahoo)
2026-02-24 13:25:04 | DEBUG    | shortsqueeze.signals:scan_stock - ECX: No signal - price=False (+1.6%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($1.56 vs VWAP $1.56), squeeze=False, mom=False
2026-02-24 13:25:05 | DEBUG    | shortsqueeze.signals:scan_stock - URG: price=$1.71, prev_close=$1.64 (source: yahoo)
2026-02-24 13:25:05 | DEBUG    | shortsqueeze.signals:scan_stock - URG: No signal - price=False (+4.0%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($1.71 vs VWAP $1.63), squeeze=False, mom=False
2026-02-24 13:25:06 | DEBUG    | shortsqueeze.signals:scan_stock - PURR: price=$3.95, prev_close=$3.78 (source: yahoo)
2026-02-24 13:25:06 | DEBUG    | shortsqueeze.signals:scan_stock - PURR: No signal - price=False (+4.4%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($3.95 vs VWAP $3.79), squeeze=False, mom=False
2026-02-24 13:25:06 | DEBUG    | shortsqueeze.signals:scan_stock - AUR: price=$4.83, prev_close=$4.74 (source: yahoo)
2026-02-24 13:25:06 | DEBUG    | shortsqueeze.signals:scan_stock - AUR: No signal - price=False (+1.8%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($4.83 vs VWAP $4.69), squeeze=False, mom=False
2026-02-24 13:25:07 | DEBUG    | shortsqueeze.signals:scan_stock - ATDRY: Alpaca returned insufficient data, trying Yahoo...
2026-02-24 13:25:07 | DEBUG    | shortsqueeze.signals:scan_stock - ATDRY: Got 21 bars from Yahoo
2026-02-24 13:25:07 | DEBUG    | shortsqueeze.signals:scan_stock - ATDRY: price=$1.57, prev_close=$1.60 (source: yahoo)
2026-02-24 13:25:07 | DEBUG    | shortsqueeze.signals:scan_stock - ATDRY: Using Yahoo volume=186,721
2026-02-24 13:25:07 | DEBUG    | shortsqueeze.signals:scan_stock - ATDRY: No signal - price=False (-1.9%, need +5.0%), vol=False (ratio=0.1x, need 3.0x, src=yahoo), vwap=True, squeeze=False, mom=False
2026-02-24 13:25:08 | DEBUG    | shortsqueeze.signals:scan_stock - PSEC: price=$2.85, prev_close=$2.83 (source: yahoo)
2026-02-24 13:25:08 | DEBUG    | shortsqueeze.signals:scan_stock - PSEC: No signal - price=False (+0.9%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($2.85 vs VWAP $2.84), squeeze=False, mom=False
2026-02-24 13:25:08 | DEBUG    | shortsqueeze.signals:scan_stock - NLST: Alpaca returned insufficient data, trying Yahoo...
2026-02-24 13:25:09 | DEBUG    | shortsqueeze.signals:scan_stock - NLST: Got 21 bars from Yahoo
2026-02-24 13:25:09 | DEBUG    | shortsqueeze.signals:scan_stock - NLST: price=$2.19, prev_close=$1.10 (source: yahoo)
2026-02-24 13:25:09 | DEBUG    | shortsqueeze.signals:scan_stock - NLST: Using Yahoo volume=401,486
2026-02-24 13:25:09 | DEBUG    | shortsqueeze.signals:scan_stock - NLST: No signal - price=True (+99.1%, need +5.0%), vol=False (ratio=0.5x, need 3.0x, src=yahoo), vwap=True, squeeze=False, mom=False
2026-02-24 13:25:10 | DEBUG    | shortsqueeze.signals:scan_stock - VZLA: price=$3.92, prev_close=$3.90 (source: yahoo)
2026-02-24 13:25:10 | DEBUG    | shortsqueeze.signals:scan_stock - VZLA: No signal - price=False (+0.4%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($3.92 vs VWAP $3.84), squeeze=False, mom=False
2026-02-24 13:25:10 | DEBUG    | shortsqueeze.signals:scan_stock - PSRHF: Alpaca returned insufficient data, trying Yahoo...
2026-02-24 13:25:10 | DEBUG    | shortsqueeze.signals:scan_stock - PSRHF: Got 21 bars from Yahoo
2026-02-24 13:25:11 | DEBUG    | shortsqueeze.signals:scan_stock - PSRHF: price=$1.11, prev_close=$1.11 (source: yahoo)
2026-02-24 13:25:11 | DEBUG    | shortsqueeze.signals:scan_stock - PSRHF: Using Yahoo volume=68,621
2026-02-24 13:25:11 | DEBUG    | shortsqueeze.signals:scan_stock - PSRHF: No signal - price=False (+0.0%, need +5.0%), vol=False (ratio=0.1x, need 3.0x, src=yahoo), vwap=True, squeeze=False, mom=False
2026-02-24 13:25:12 | DEBUG    | shortsqueeze.signals:scan_stock - GLDG: price=$1.65, prev_close=$1.61 (source: yahoo)
2026-02-24 13:25:12 | DEBUG    | shortsqueeze.signals:scan_stock - GLDG: No signal - price=False (+2.8%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($1.65 vs VWAP $1.62), squeeze=False, mom=False
2026-02-24 13:25:12 | DEBUG    | shortsqueeze.signals:scan_stock - KOS: price=$2.24, prev_close=$2.06 (source: yahoo)
2026-02-24 13:25:12 | DEBUG    | shortsqueeze.signals:scan_stock - KOS: No signal - price=True (+8.5%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($2.24 vs VWAP $2.07), squeeze=False, mom=False
2026-02-24 13:25:13 | DEBUG    | shortsqueeze.signals:scan_stock - AGIG: price=$3.40, prev_close=$3.46 (source: yahoo)
2026-02-24 13:25:13 | DEBUG    | shortsqueeze.signals:scan_stock - AGIG: No signal - price=False (-1.6%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($3.40 vs VWAP $3.52), squeeze=False, mom=False
2026-02-24 13:25:14 | DEBUG    | shortsqueeze.signals:scan_stock - CRON: price=$2.74, prev_close=$2.64 (source: yahoo)
2026-02-24 13:25:14 | DEBUG    | shortsqueeze.signals:scan_stock - CRON: No signal - price=False (+3.6%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($2.74 vs VWAP $2.65), squeeze=False, mom=False
2026-02-24 13:25:14 | DEBUG    | shortsqueeze.signals:scan_stock - ALKEF: Alpaca returned insufficient data, trying Yahoo...
2026-02-24 13:25:14 | DEBUG    | shortsqueeze.signals:scan_stock - ALKEF: Got 21 bars from Yahoo
2026-02-24 13:25:15 | DEBUG    | shortsqueeze.signals:scan_stock - ALKEF: price=$1.13, prev_close=$1.20 (source: yahoo)
2026-02-24 13:25:15 | DEBUG    | shortsqueeze.signals:scan_stock - ALKEF: Using Yahoo volume=500
2026-02-24 13:25:15 | DEBUG    | shortsqueeze.signals:scan_stock - ALKEF: No signal - price=False (-5.8%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=yahoo), vwap=True, squeeze=False, mom=False
2026-02-24 13:25:15 | DEBUG    | shortsqueeze.signals:scan_stock - CURLF: Alpaca returned insufficient data, trying Yahoo...
2026-02-24 13:25:15 | DEBUG    | shortsqueeze.signals:scan_stock - CURLF: Got 21 bars from Yahoo
2026-02-24 13:25:15 | DEBUG    | shortsqueeze.signals:scan_stock - CURLF: price=$2.49, prev_close=$2.20 (source: yahoo)
2026-02-24 13:25:16 | DEBUG    | shortsqueeze.signals:scan_stock - CURLF: Using Yahoo volume=161,388
2026-02-24 13:25:16 | DEBUG    | shortsqueeze.signals:scan_stock - CURLF: No signal - price=True (+13.2%, need +5.0%), vol=False (ratio=0.3x, need 3.0x, src=yahoo), vwap=True, squeeze=False, mom=False
2026-02-24 13:25:16 | DEBUG    | shortsqueeze.signals:scan_stock - ENLV: price=$1.17, prev_close=$1.04 (source: yahoo)
2026-02-24 13:25:16 | DEBUG    | shortsqueeze.signals:scan_stock - ENLV: No signal - price=True (+12.0%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($1.17 vs VWAP $1.03), squeeze=False, mom=False
2026-02-24 13:25:17 | DEBUG    | shortsqueeze.signals:scan_stock - ALTS: price=$1.21, prev_close=$1.31 (source: yahoo)
2026-02-24 13:25:17 | DEBUG    | shortsqueeze.signals:scan_stock - ALTS: No signal - price=False (-7.3%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($1.21 vs VWAP $1.35), squeeze=False, mom=False
2026-02-24 13:25:18 | DEBUG    | shortsqueeze.signals:scan_stock - BB: price=$3.38, prev_close=$3.32 (source: yahoo)
2026-02-24 13:25:18 | DEBUG    | shortsqueeze.signals:scan_stock - BB: No signal - price=False (+2.0%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($3.38 vs VWAP $3.35), squeeze=False, mom=False
2026-02-24 13:25:19 | DEBUG    | shortsqueeze.signals:scan_stock - NUAI: price=$4.96, prev_close=$5.10 (source: yahoo)
