2026-02-26 10:53:23 | DEBUG    | shortsqueeze.signals:scan_stock - GLXY: No signal - price=False (-6.2%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($21.41 vs VWAP $22.99), squeeze=False, mom=False
2026-02-26 10:53:24 | DEBUG    | shortsqueeze.signals:scan_stock - EQPT: price=$14.12, prev_close=$29.77 (source: yahoo)
2026-02-26 10:53:24 | DEBUG    | shortsqueeze.signals:scan_stock - EQPT: Using Yahoo volume=347,787
2026-02-26 10:53:24 | DEBUG    | shortsqueeze.signals:scan_stock - EQPT: No signal - price=False (-52.6%, need +5.0%), vol=False (ratio=0.5x, need 3.0x, src=yahoo), vwap=False ($14.12 vs VWAP $29.58), squeeze=False, mom=False
2026-02-26 10:53:24 | DEBUG    | shortsqueeze.signals:scan_stock - EFA: price=$105.03, prev_close=$105.66 (source: yahoo)
2026-02-26 10:53:24 | DEBUG    | shortsqueeze.signals:scan_stock - EFA: No signal - price=False (-0.6%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($105.03 vs VWAP $105.56), squeeze=False, mom=False
2026-02-26 10:53:25 | DEBUG    | shortsqueeze.signals:scan_stock - ICL: price=$4.86, prev_close=$5.10 (source: yahoo)
2026-02-26 10:53:25 | DEBUG    | shortsqueeze.signals:scan_stock - ICL: No signal - price=False (-4.8%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($4.86 vs VWAP $5.09), squeeze=False, mom=False
2026-02-26 10:53:26 | DEBUG    | shortsqueeze.signals:scan_stock - GME: price=$23.80, prev_close=$24.22 (source: yahoo)
2026-02-26 10:53:26 | DEBUG    | shortsqueeze.signals:scan_stock - GME: No signal - price=False (-1.7%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($23.80 vs VWAP $24.06), squeeze=False, mom=False
2026-02-26 10:53:26 | DEBUG    | shortsqueeze.signals:scan_stock - LI: price=$17.59, prev_close=$18.45 (source: yahoo)
2026-02-26 10:53:27 | DEBUG    | shortsqueeze.signals:scan_stock - LI: No signal - price=False (-4.6%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($17.59 vs VWAP $18.37), squeeze=False, mom=False
2026-02-26 10:53:27 | DEBUG    | shortsqueeze.signals:scan_stock - ANGI: price=$8.02, prev_close=$8.09 (source: yahoo)
2026-02-26 10:53:27 | DEBUG    | shortsqueeze.signals:scan_stock - ANGI: No signal - price=False (-0.8%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($8.02 vs VWAP $8.10), squeeze=False, mom=False
2026-02-26 10:53:28 | DEBUG    | shortsqueeze.signals:scan_stock - MUX: price=$26.96, prev_close=$27.09 (source: yahoo)
2026-02-26 10:53:28 | DEBUG    | shortsqueeze.signals:scan_stock - MUX: Using Yahoo volume=284,410
2026-02-26 10:53:28 | DEBUG    | shortsqueeze.signals:scan_stock - MUX: No signal - price=False (-0.5%, need +5.0%), vol=False (ratio=0.5x, need 3.0x, src=yahoo), vwap=False ($26.96 vs VWAP $27.13), squeeze=False, mom=False
2026-02-26 10:53:28 | DEBUG    | shortsqueeze.signals:scan_stock - TCGL: price=$100.00, prev_close=$172.84 (source: yahoo)
2026-02-26 10:53:28 | DEBUG    | shortsqueeze.signals:scan_stock - TCGL: Using Yahoo volume=1,115,075
2026-02-26 10:53:28 | DEBUG    | shortsqueeze.signals:scan_stock - TCGL: No signal - price=False (-42.1%, need +5.0%), vol=True (ratio=5.0x, need 3.0x, src=yahoo), vwap=True, squeeze=False, mom=False
2026-02-26 10:53:29 | DEBUG    | shortsqueeze.signals:scan_stock - SONY: price=$22.48, prev_close=$21.41 (source: yahoo)
