2026-02-19 09:08:38 | DEBUG    | shortsqueeze.broker.finnhub_data:_request - Finnhub stock/candle: HTTP 403
2026-02-19 09:08:38 | DEBUG    | shortsqueeze.signals:scan_stock - MUX: Using Yahoo volume=161,114
2026-02-19 09:08:38 | DEBUG    | shortsqueeze.signals:scan_stock - MUX: No signal - price=False (+3.2%, need +5.0%), vol=False (ratio=0.5x, need 3.0x, src=yahoo), vwap=True ($25.15 vs VWAP $24.37), squeeze=False, mom=False
2026-02-19 09:08:39 | DEBUG    | shortsqueeze.signals:scan_stock - QURE: price=$23.87, prev_close=$23.43 (source: yahoo)
2026-02-19 09:08:39 | DEBUG    | shortsqueeze.signals:scan_stock - QURE: No signal - price=False (+1.9%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($23.87 vs VWAP $23.92), squeeze=False, mom=False
2026-02-19 09:08:40 | DEBUG    | shortsqueeze.signals:scan_stock - PICK: price=$59.91, prev_close=$60.63 (source: yahoo)
2026-02-19 09:08:40 | DEBUG    | shortsqueeze.signals:scan_stock - PICK: No Alpaca intraday data, trying Finnhub...
2026-02-19 09:08:41 | DEBUG    | shortsqueeze.broker.finnhub_data:_request - Finnhub stock/candle: HTTP 403
2026-02-19 09:08:41 | DEBUG    | shortsqueeze.signals:scan_stock - PICK: Using Yahoo volume=145,276
2026-02-19 09:08:41 | DEBUG    | shortsqueeze.signals:scan_stock - PICK: No signal - price=False (-1.2%, need +5.0%), vol=False (ratio=0.5x, need 3.0x, src=yahoo), vwap=False ($59.91 vs VWAP $60.83), squeeze=False, mom=False
2026-02-19 09:08:41 | DEBUG    | shortsqueeze.signals:scan_stock - ASTS: price=$82.95, prev_close=$84.43 (source: yahoo)
2026-02-19 09:08:42 | DEBUG    | shortsqueeze.signals:scan_stock - ASTS: No signal - price=False (-1.7%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($82.95 vs VWAP $85.25), squeeze=False, mom=False
2026-02-19 09:08:42 | DEBUG    | shortsqueeze.signals:scan_stock - STKL: price=$6.42, prev_close=$6.41 (source: yahoo)
2026-02-19 09:08:42 | DEBUG    | shortsqueeze.signals:scan_stock - STKL: No Alpaca intraday data, trying Finnhub...
2026-02-19 09:08:43 | DEBUG    | shortsqueeze.broker.finnhub_data:_request - Finnhub stock/candle: HTTP 403
2026-02-19 09:08:43 | DEBUG    | shortsqueeze.signals:scan_stock - STKL: Using Yahoo volume=329,775
2026-02-19 09:08:43 | DEBUG    | shortsqueeze.signals:scan_stock - STKL: No signal - price=False (+0.2%, need +5.0%), vol=False (ratio=0.3x, need 3.0x, src=yahoo), vwap=True ($6.42 vs VWAP $6.41), squeeze=False, mom=False
2026-02-19 09:08:44 | DEBUG    | shortsqueeze.signals:scan_stock - SVRA: price=$5.78, prev_close=$5.59 (source: yahoo)
2026-02-19 09:08:44 | DEBUG    | shortsqueeze.signals:scan_stock - SVRA: No Alpaca intraday data, trying Finnhub...
2026-02-19 09:08:45 | DEBUG    | shortsqueeze.broker.finnhub_data:_request - Finnhub stock/candle: HTTP 403
2026-02-19 09:08:45 | DEBUG    | shortsqueeze.signals:scan_stock - SVRA: Using Yahoo volume=645,901
2026-02-19 09:08:45 | DEBUG    | shortsqueeze.signals:scan_stock - SVRA: No signal - price=False (+3.3%, need +5.0%), vol=False (ratio=1.8x, need 3.0x, src=yahoo), vwap=True ($5.78 vs VWAP $5.64), squeeze=False, mom=False
2026-02-19 09:08:45 | DEBUG    | shortsqueeze.signals:scan_stock - HYG: price=$80.85, prev_close=$80.91 (source: yahoo)
2026-02-19 09:08:45 | DEBUG    | shortsqueeze.signals:scan_stock - HYG: No signal - price=False (-0.1%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($80.85 vs VWAP $80.92), squeeze=False, mom=False
2026-02-19 09:08:46 | DEBUG    | shortsqueeze.signals:scan_stock - NG: price=$11.02, prev_close=$10.60 (source: yahoo)
2026-02-19 09:08:46 | DEBUG    | shortsqueeze.signals:scan_stock - NG: No signal - price=False (+4.0%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($11.02 vs VWAP $10.50), squeeze=False, mom=False
2026-02-19 09:08:47 | DEBUG    | shortsqueeze.signals:scan_stock - UAMY: price=$7.50, prev_close=$7.45 (source: yahoo)
2026-02-19 09:08:47 | DEBUG    | shortsqueeze.signals:scan_stock - UAMY: No signal - price=False (+0.7%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($7.50 vs VWAP $7.49), squeeze=False, mom=False
2026-02-19 09:08:47 | DEBUG    | shortsqueeze.signals:scan_stock - OTF: price=$12.04, prev_close=$12.63 (source: yahoo)
2026-02-19 09:08:48 | DEBUG    | shortsqueeze.signals:scan_stock - OTF: No signal - price=False (-4.6%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($12.04 vs VWAP $12.63), squeeze=False, mom=False
2026-02-19 09:08:48 | DEBUG    | shortsqueeze.signals:scan_stock - NTSK: price=$5.67, prev_close=$11.53 (source: yahoo)
2026-02-19 09:08:48 | DEBUG    | shortsqueeze.signals:scan_stock - NTSK: No Alpaca intraday data, trying Finnhub...
2026-02-19 09:08:49 | DEBUG    | shortsqueeze.broker.finnhub_data:_request - Finnhub stock/candle: HTTP 403
2026-02-19 09:08:49 | DEBUG    | shortsqueeze.signals:scan_stock - NTSK: Using Yahoo volume=248,558
2026-02-19 09:08:49 | DEBUG    | shortsqueeze.signals:scan_stock - NTSK: No signal - price=False (-50.8%, need +5.0%), vol=False (ratio=0.4x, need 3.0x, src=yahoo), vwap=False ($5.67 vs VWAP $11.56), squeeze=False, mom=False
2026-02-19 09:08:50 | DEBUG    | shortsqueeze.signals:scan_stock - EQX: price=$16.47, prev_close=$15.65 (source: yahoo)
2026-02-19 09:08:50 | DEBUG    | shortsqueeze.signals:scan_stock - EQX: No signal - price=True (+5.2%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($16.47 vs VWAP $15.44), squeeze=False, mom=False
2026-02-19 09:08:51 | DEBUG    | shortsqueeze.signals:scan_stock - LQDA: price=$33.28, prev_close=$34.96 (source: yahoo)
2026-02-19 09:08:51 | DEBUG    | shortsqueeze.signals:scan_stock - LQDA: No signal - price=False (-4.8%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($33.28 vs VWAP $34.91), squeeze=False, mom=False
2026-02-19 09:08:51 | DEBUG    | shortsqueeze.signals:scan_stock - MP: price=$56.38, prev_close=$57.94 (source: yahoo)
2026-02-19 09:08:51 | DEBUG    | shortsqueeze.signals:scan_stock - MP: No signal - price=False (-2.7%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($56.38 vs VWAP $57.95), squeeze=False, mom=False
2026-02-19 09:08:52 | DEBUG    | shortsqueeze.signals:scan_stock - FMCC: Alpaca returned insufficient data, trying Yahoo...
2026-02-19 09:08:52 | DEBUG    | shortsqueeze.signals:scan_stock - FMCC: Got 22 bars from Yahoo
2026-02-19 09:08:52 | DEBUG    | shortsqueeze.signals:scan_stock - FMCC: price=$7.33, prev_close=$7.34 (source: yahoo)
2026-02-19 09:08:52 | DEBUG    | shortsqueeze.signals:scan_stock - FMCC: No Alpaca intraday data, trying Finnhub...
2026-02-19 09:08:53 | DEBUG    | shortsqueeze.broker.finnhub_data:_request - Finnhub stock/candle: HTTP 403
2026-02-19 09:08:53 | DEBUG    | shortsqueeze.signals:scan_stock - FMCC: Using Yahoo volume=119,588
2026-02-19 09:08:53 | DEBUG    | shortsqueeze.signals:scan_stock - FMCC: No signal - price=False (-0.1%, need +5.0%), vol=False (ratio=0.2x, need 3.0x, src=yahoo), vwap=True, squeeze=False, mom=False
2026-02-19 09:08:54 | DEBUG    | shortsqueeze.signals:scan_stock - BUD: price=$78.07, prev_close=$78.89 (source: yahoo)
2026-02-19 09:08:54 | DEBUG    | shortsqueeze.signals:scan_stock - BUD: No signal - price=False (-1.0%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($78.07 vs VWAP $79.12), squeeze=False, mom=False
2026-02-19 09:08:54 | DEBUG    | shortsqueeze.signals:scan_stock - GLXY: price=$21.32, prev_close=$21.73 (source: yahoo)
2026-02-19 09:08:55 | DEBUG    | shortsqueeze.signals:scan_stock - GLXY: No signal - price=False (-1.9%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($21.32 vs VWAP $21.84), squeeze=False, mom=False
2026-02-19 09:08:55 | DEBUG    | shortsqueeze.signals:scan_stock - NKE: price=$64.48, prev_close=$65.55 (source: yahoo)
2026-02-19 09:08:55 | DEBUG    | shortsqueeze.signals:scan_stock - NKE: No signal - price=False (-1.6%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($64.48 vs VWAP $65.47), squeeze=False, mom=False
2026-02-19 09:08:56 | DEBUG    | shortsqueeze.signals:scan_stock - SANA: price=$3.96, prev_close=$3.93 (source: yahoo)
2026-02-19 09:08:56 | DEBUG    | shortsqueeze.signals:scan_stock - SANA: No signal - price=False (+0.6%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($3.96 vs VWAP $3.88), squeeze=False, mom=False
2026-02-19 09:08:57 | DEBUG    | shortsqueeze.signals:scan_stock - RXRX: price=$3.69, prev_close=$3.53 (source: yahoo)
2026-02-19 09:08:57 | DEBUG    | shortsqueeze.signals:scan_stock - RXRX: No signal - price=False (+4.4%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($3.69 vs VWAP $3.26), squeeze=False, mom=False
2026-02-19 09:08:58 | DEBUG    | shortsqueeze.signals:scan_stock - ABSI: price=$3.98, prev_close=$2.70 (source: yahoo)
2026-02-19 09:08:58 | DEBUG    | shortsqueeze.signals:scan_stock - ABSI: No signal - price=True (+47.2%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($3.98 vs VWAP $2.70), squeeze=False, mom=False
2026-02-19 09:08:58 | DEBUG    | shortsqueeze.signals:scan_stock - IOVA: price=$7.96, prev_close=$2.72 (source: yahoo)
2026-02-19 09:08:58 | DEBUG    | shortsqueeze.signals:scan_stock - IOVA: No signal - price=True (+192.8%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($7.96 vs VWAP $2.71), squeeze=False, mom=False
2026-02-19 09:08:59 | DEBUG    | shortsqueeze.signals:scan_stock - INDI: price=$3.54, prev_close=$3.70 (source: yahoo)
2026-02-19 09:08:59 | DEBUG    | shortsqueeze.signals:scan_stock - INDI: No signal - price=False (-4.5%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($3.54 vs VWAP $3.76), squeeze=False, mom=False
2026-02-19 09:09:00 | DEBUG    | shortsqueeze.signals:scan_stock - NFE: price=$1.29, prev_close=$1.26 (source: yahoo)
2026-02-19 09:09:00 | DEBUG    | shortsqueeze.signals:scan_stock - NFE: No signal - price=False (+2.0%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($1.29 vs VWAP $1.28), squeeze=False, mom=False
2026-02-19 09:09:01 | DEBUG    | shortsqueeze.signals:scan_stock - EVGO: price=$2.80, prev_close=$2.83 (source: yahoo)
2026-02-19 09:09:01 | DEBUG    | shortsqueeze.signals:scan_stock - EVGO: No Alpaca intraday data, trying Finnhub...
2026-02-19 09:09:02 | DEBUG    | shortsqueeze.broker.finnhub_data:_request - Finnhub stock/candle: HTTP 403
2026-02-19 09:09:02 | DEBUG    | shortsqueeze.signals:scan_stock - EVGO: Using Yahoo volume=455,344
2026-02-19 09:09:02 | DEBUG    | shortsqueeze.signals:scan_stock - EVGO: No signal - price=False (-0.9%, need +5.0%), vol=False (ratio=0.5x, need 3.0x, src=yahoo), vwap=False ($2.80 vs VWAP $2.82), squeeze=False, mom=False
2026-02-19 09:09:02 | DEBUG    | shortsqueeze.signals:scan_stock - BBAI: price=$4.11, prev_close=$4.09 (source: yahoo)
2026-02-19 09:09:02 | DEBUG    | shortsqueeze.signals:scan_stock - BBAI: No signal - price=False (+0.4%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($4.11 vs VWAP $4.11), squeeze=False, mom=False
2026-02-19 09:09:03 | DEBUG    | shortsqueeze.signals:scan_stock - CRDF: price=$1.58, prev_close=$1.56 (source: yahoo)
2026-02-19 09:09:03 | DEBUG    | shortsqueeze.signals:scan_stock - CRDF: No Alpaca intraday data, trying Finnhub...
2026-02-19 09:09:04 | DEBUG    | shortsqueeze.broker.finnhub_data:_request - Finnhub stock/candle: HTTP 403
2026-02-19 09:09:04 | DEBUG    | shortsqueeze.signals:scan_stock - CRDF: Using Yahoo volume=75,044
2026-02-19 09:09:04 | DEBUG    | shortsqueeze.signals:scan_stock - CRDF: No signal - price=False (+1.6%, need +5.0%), vol=False (ratio=0.2x, need 3.0x, src=yahoo), vwap=True ($1.58 vs VWAP $1.58), squeeze=False, mom=False
2026-02-19 09:09:05 | DEBUG    | shortsqueeze.signals:scan_stock - CHRS: price=$1.60, prev_close=$1.63 (source: yahoo)
2026-02-19 09:09:05 | DEBUG    | shortsqueeze.signals:scan_stock - CHRS: No signal - price=False (-1.5%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($1.60 vs VWAP $1.62), squeeze=False, mom=False
