2026-02-19 07:39:36 | DEBUG    | shortsqueeze.broker.finnhub_data:_request - Finnhub stock/candle: HTTP 403
2026-02-19 07:39:36 | DEBUG    | shortsqueeze.signals:scan_stock - PSRHF: Using Yahoo volume=108,694
2026-02-19 07:39:36 | DEBUG    | shortsqueeze.signals:scan_stock - PSRHF: No signal - price=False (-3.0%, need +5.0%), vol=True (ratio=6.8x, need 3.0x, src=yahoo), vwap=True, squeeze=False, mom=False
2026-02-19 07:39:37 | DEBUG    | shortsqueeze.signals:scan_stock - NUAI: price=$4.60, prev_close=$4.73 (source: yahoo)
2026-02-19 07:39:37 | DEBUG    | shortsqueeze.signals:scan_stock - NUAI: No signal - price=False (-2.7%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($4.60 vs VWAP $4.59), squeeze=False, mom=False
2026-02-19 07:39:38 | DEBUG    | shortsqueeze.signals:scan_stock - ECC: price=$4.13, prev_close=$4.22 (source: yahoo)
2026-02-19 07:39:38 | DEBUG    | shortsqueeze.signals:scan_stock - ECC: No Alpaca intraday data, trying Finnhub...
2026-02-19 07:39:40 | DEBUG    | shortsqueeze.broker.finnhub_data:_request - Finnhub stock/candle: HTTP 403
2026-02-19 07:39:40 | DEBUG    | shortsqueeze.signals:scan_stock - ECC: Using Yahoo volume=304,740
2026-02-19 07:39:40 | DEBUG    | shortsqueeze.signals:scan_stock - ECC: No signal - price=False (-2.0%, need +5.0%), vol=True (ratio=4.3x, need 3.0x, src=yahoo), vwap=False ($4.13 vs VWAP $4.20), squeeze=False, mom=False
2026-02-19 07:39:41 | DEBUG    | shortsqueeze.signals:scan_stock - ATAI: price=$1.48, prev_close=$3.95 (source: yahoo)
2026-02-19 07:39:41 | DEBUG    | shortsqueeze.signals:scan_stock - ATAI: No signal - price=False (-62.5%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($1.48 vs VWAP $4.01), squeeze=False, mom=False
2026-02-19 07:39:42 | DEBUG    | shortsqueeze.signals:scan_stock - BB: price=$3.41, prev_close=$3.43 (source: yahoo)
2026-02-19 07:39:42 | DEBUG    | shortsqueeze.signals:scan_stock - BB: No signal - price=False (-0.6%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($3.41 vs VWAP $3.43), squeeze=False, mom=False
2026-02-19 07:39:42 | DEBUG    | shortsqueeze.signals:scan_stock - SLI: price=$4.10, prev_close=$4.21 (source: yahoo)
2026-02-19 07:39:43 | DEBUG    | shortsqueeze.signals:scan_stock - SLI: No Alpaca intraday data, trying Finnhub...
2026-02-19 07:39:43 | DEBUG    | shortsqueeze.broker.finnhub_data:_request - Finnhub stock/candle: HTTP 403
2026-02-19 07:39:43 | DEBUG    | shortsqueeze.signals:scan_stock - SLI: Using Yahoo volume=75,717
2026-02-19 07:39:43 | DEBUG    | shortsqueeze.signals:scan_stock - SLI: No signal - price=False (-2.6%, need +5.0%), vol=False (ratio=1.1x, need 3.0x, src=yahoo), vwap=False ($4.10 vs VWAP $4.19), squeeze=False, mom=False
2026-02-19 07:39:44 | DEBUG    | shortsqueeze.signals:scan_stock - ALTS: price=$1.48, prev_close=$1.50 (source: yahoo)
2026-02-19 07:39:44 | DEBUG    | shortsqueeze.signals:scan_stock - ALTS: No signal - price=False (-1.7%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($1.48 vs VWAP $1.52), squeeze=False, mom=False
2026-02-19 07:39:45 | DEBUG    | shortsqueeze.signals:scan_stock - KOPN: price=$2.21, prev_close=$2.25 (source: yahoo)
2026-02-19 07:39:45 | DEBUG    | shortsqueeze.signals:scan_stock - KOPN: No signal - price=False (-2.0%, need +5.0%), vol=False (ratio=0.1x, need 3.0x, src=alpaca), vwap=False ($2.21 vs VWAP $2.28), squeeze=False, mom=False
2026-02-19 07:39:45 | DEBUG    | shortsqueeze.signals:scan_stock - IAUX: price=$1.90, prev_close=$1.92 (source: yahoo)
2026-02-19 07:39:46 | DEBUG    | shortsqueeze.signals:scan_stock - IAUX: No signal - price=False (-0.8%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($1.90 vs VWAP $1.92), squeeze=False, mom=False
2026-02-19 07:39:46 | DEBUG    | shortsqueeze.signals:scan_stock - AUTL: price=$4.25, prev_close=$1.56 (source: yahoo)
2026-02-19 07:39:46 | DEBUG    | shortsqueeze.signals:scan_stock - AUTL: No signal - price=True (+172.8%, need +5.0%), vol=False (ratio=0.1x, need 3.0x, src=alpaca), vwap=True ($4.25 vs VWAP $1.56), squeeze=False, mom=False
2026-02-19 07:39:47 | DEBUG    | shortsqueeze.signals:scan_stock - VZLA: price=$3.83, prev_close=$3.77 (source: yahoo)
